CODE,BULK LBR,BULK RATE,PRODUCT,WEIGHT,RSLR LBR,RESELLER RATE,CUST LBR,RETAIL RATE,RETAIL            T. PRICE,245,,BULK CODE,RSLR CODE,CUST CODE,
ANK04-07,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-08,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-09,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-10,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-11,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-12,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-13,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-14,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-15,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-16,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-17,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-18,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-19,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-20,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-21,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-22,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-23,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK05-01,85,330,Italian Kada & Payal Combo,31.60,135,380,217,462,"14,599",,,NB,RAB,ORI,
ANK05-02,85,330,Italian Kada & Payal Combo,33.70,135,380,217,462,"15,569",,,NB,RAB,ORI,
ANK05-03,85,330,Italian Kada & Payal Combo,32.70,135,380,217,462,"15,107",,,NB,RAB,ORI,
ANK05-04,85,330,Italian Kada & Payal Combo,33.55,135,380,217,462,"15,500",,,NB,RAB,ORI,
ANK05-05,85,330,Italian Kada & Payal Combo,32.00,135,380,217,462,"14,784",,,NB,RAB,ORI,
ANK05-06,85,330,Italian Kada & Payal Combo,33.00,135,380,217,462,"15,246",,,NB,RAB,ORI,
ANK05-07,85,330,Italian Kada & Payal Combo,33.50,135,380,217,462,"15,477",,,NB,RAB,ORI,
ANK05-08,85,330,Italian Kada & Payal Combo,33.95,135,380,217,462,"15,685",,,NB,RAB,ORI,
ANK05-09,85,330,Italian Kada & Payal Combo,34.92,135,380,217,462,"16,133",,,NB,RAB,ORI,
ANK05-10,85,330,Italian Kada & Payal Combo,33.15,135,380,217,462,"15,315",,,NB,RAB,ORI,
ANK05-11,85,330,Italian Kada & Payal Combo,33.60,135,380,217,462,"15,523",,,NB,RAB,ORI,
ANK06-01,0,245,Adults Nazariya Beads Anklets,9.20,37,282,98,343,"3,156",,,X,AI,GN,
ANK06-02,0,245,Adults Nazariya Beads Anklets,9.00,37,282,98,343,"3,087",,,X,AI,GN,
ANK06-03,0,245,Adults Nazariya Beads Anklets,7.00,37,282,98,343,"2,401",,,X,AI,GN,
ANK06-04,0,245,Adults Nazariya Beads Anklets,11.00,37,282,98,343,"3,773",,,X,AI,GN,
ANK06-05,0,245,Adults Nazariya Beads Anklets,11.70,37,282,98,343,"4,013",,,X,AI,GN,
ANK07-02,210,455,Elegant Evil-Eye Anklets,5.00,278,523,392,637,"3,185",,,ORX,OIN,AGO,
ANK08-01,110,355,Solitaire Charms - Ball Anklets,7.68,163,408,252,497,"3,817",,,RRX,RLA,OBO,
ANK08-02,110,355,Solitaire Charms - Ball Anklets,7.15,163,408,252,497,"3,554",,,RRX,RLA,OBO,
ANK08-03,110,355,Solitaire Charms - Ball Anklets,7.30,163,408,252,497,"3,628",,,RRX,RLA,OBO,
ANK08-04,110,355,Solitaire Charms - Ball Anklets,7.56,163,408,252,497,"3,757",,,RRX,RLA,OBO,
ANK08-05,110,355,Solitaire Charms - Ball Anklets,7.70,163,408,252,497,"3,827",,,RRX,RLA,OBO,
ANK08-06,110,355,Solitaire Charms - Ball Anklets,7.10,163,408,252,497,"3,529",,,RRX,RLA,OBO,
ANK08-07,110,355,Solitaire Charms - Ball Anklets,7.30,163,408,252,497,"3,628",,,RRX,RLA,OBO,
ANK08-08,110,355,Solitaire Charms - Ball Anklets,7.80,163,408,252,497,"3,877",,,RRX,RLA,OBO,
ANK08-09,110,355,Solitaire Charms - Ball Anklets,7.20,163,408,252,497,"3,578",,,RRX,RLA,OBO,
ANK08-10,110,355,Solitaire Charms - Ball Anklets,7.45,163,408,252,497,"3,703",,,RRX,RLA,OBO,
ANK08-11,110,355,Solitaire Charms - Ball Anklets,7.35,163,408,252,497,"3,653",,,RRX,RLA,OBO,
